"都道府県","変更前","変更後","変更日"
"群馬県","吾妻郡六合村","吾妻郡中之条町","平成22年3月28日"
"群馬県","多野郡吉井町","高崎市","平成21年6月1日"
"群馬県","勢多郡富士見村","前橋市","平成21年5月5日"
"群馬県","群馬郡榛名町","高崎市","平成18年10月1日"
"群馬県","吾妻郡東村","吾妻郡東吾妻町","平成18年3月27日"
"群馬県","吾妻郡吾妻町","吾妻郡東吾妻町","平成18年3月27日"
"群馬県","勢多郡東村","みどり市","平成18年3月27日"
"群馬県","新田郡笠懸町","みどり市","平成18年3月27日"
"群馬県","山田郡大間々町","みどり市","平成18年3月27日"
"群馬県","甘楽郡妙義町","富岡市","平成18年3月27日"
"群馬県","碓氷郡松井田町","安中市","平成18年3月18日"
"群馬県","勢多郡北橘村","渋川市","平成18年2月20日"
"群馬県","勢多郡赤城村","渋川市","平成18年2月20日"
"群馬県","北群馬郡子持村","渋川市","平成18年2月20日"
"群馬県","北群馬郡小野上村","渋川市","平成18年2月20日"
"群馬県","北群馬郡伊香保町","渋川市","平成18年2月20日"
"群馬県","群馬郡倉渕村","高崎市","平成18年1月23日"
"群馬県","群馬郡箕郷町","高崎市","平成18年1月23日"
"群馬県","群馬郡群馬町","高崎市","平成18年1月23日"
"群馬県","多野郡新町","高崎市","平成18年1月23日"
"群馬県","多野郡鬼石町","藤岡市","平成18年1月1日"
"群馬県","利根郡月夜野町","利根郡みなかみ町","平成17年10月1日"
"群馬県","利根郡水上町","利根郡みなかみ町","平成17年10月1日"
"群馬県","利根郡新治村","利根郡みなかみ町","平成17年10月1日"
"群馬県","勢多郡新里村","桐生市","平成17年6月13日"
"群馬県","勢多郡黒保根村","桐生市","平成17年6月13日"
"群馬県","新田郡尾島町","太田市","平成17年3月28日"
"群馬県","新田郡新田町","太田市","平成17年3月28日"
"群馬県","新田郡藪塚本町","太田市","平成17年3月28日"
"群馬県","利根郡白沢村","沼田市","平成17年2月13日"
"群馬県","利根郡利根村","沼田市","平成17年2月13日"
"群馬県","佐波郡赤堀町","伊勢崎市","平成17年1月1日"
"群馬県","佐波郡東村","伊勢崎市","平成17年1月1日"
"群馬県","佐波郡境町","伊勢崎市","平成17年1月1日"
"群馬県","勢多郡大胡町","前橋市","平成16年12月5日"
"群馬県","勢多郡宮城村","前橋市","平成16年12月5日"
"群馬県","勢多郡粕川村","前橋市","平成16年12月5日"
"群馬県","多野郡中里村","多野郡神流町","平成15年4月1日"
"群馬県","多野郡万場町","多野郡神流町","平成15年4月1日"
