都道府県,変更前,変更後,変更日,典拠
静岡県,富士郡芝川町,富士宮市,平成22年3月23日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,浜名郡新居町,湖西市,平成22年3月23日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,志太郡岡部町,藤枝市,平成21年1月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,庵原郡由比町,静岡市清水区,平成20年11月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,庵原郡富士川町,富士市,平成20年11月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,志太郡大井川町,焼津市,平成20年11月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,榛原郡川根町,島田市,平成20年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,庵原郡蒲原町,静岡市清水区,平成18年3月31日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,榛原郡相良町,牧之原市,平成17年10月11日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,榛原郡榛原町,牧之原市,平成17年10月11日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,榛原郡中川根町,榛原郡川根本町,平成17年9月20日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,榛原郡本川根町,榛原郡川根本町,平成17年9月20日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,天竜市,浜松市,平成17年7月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,浜北市,浜松市,平成17年7月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,周智郡春野町,浜松市,平成17年7月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,磐田郡龍山村,浜松市,平成17年7月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,磐田郡佐久間町,浜松市,平成17年7月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,磐田郡水窪町,浜松市,平成17年7月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,浜名郡舞阪町,浜松市,平成17年7月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,浜名郡雄踏町,浜松市,平成17年7月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,引佐郡細江町,浜松市,平成17年7月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,引佐郡引佐町,浜松市,平成17年7月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,引佐郡三ヶ日町,浜松市,平成17年7月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,榛原郡金谷町,島田市,平成17年5月5日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,磐田郡浅羽町,袋井市,平成17年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,田方郡伊豆長岡町,伊豆の国市,平成17年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,田方郡韮山町,伊豆の国市,平成17年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,田方郡大仁町,伊豆の国市,平成17年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,賀茂郡賀茂村,賀茂郡西伊豆町,平成17年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,小笠郡大須賀町,掛川市,平成17年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,小笠郡大東町,掛川市,平成17年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,磐田郡福田町,磐田市,平成17年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,磐田郡竜洋町,磐田市,平成17年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,磐田郡豊田町,磐田市,平成17年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,磐田郡豊岡村,磐田市,平成17年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,田方郡戸田村,沼津市,平成17年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,小笠郡小笠町,菊川市,平成17年1月17日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,小笠郡菊川町,菊川市,平成17年1月17日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,榛原郡御前崎町,御前崎市,平成16年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,小笠郡浜岡町,御前崎市,平成16年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,田方郡修善寺町,伊豆市,平成16年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,田方郡土肥町,伊豆市,平成16年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,田方郡天城湯ヶ島町,伊豆市,平成16年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
静岡県,田方郡中伊豆町,伊豆市,平成16年4月1日,https://www.post.japanpost.jp/zipcode/merge/shizuoka.html
